region,month,rainfall_mm_per_day,temperature_avg_c,relative_humidity_pct
gedo,2024-09-01,0.08954627,28.171564,50.04683
gedo,2024-10-01,0.12609589,29.26463,50.118332
gedo,2024-11-01,2.279701,28.158365,63.399952
gedo,2024-12-01,0.007479735,29.288557,40.516014
gedo,2025-01-01,0.001489941,29.478731,34.89428
gedo,2025-02-01,0.003232405,30.729559,33.367638
gedo,2025-03-01,1.024341,30.754309,47.491394
gedo,2025-04-01,2.9713938,28.692549,63.218826
gedo,2025-05-01,0.95668954,28.34796,60.689213
gedo,2025-06-01,0.39106318,27.6373,54.67376
gedo,2025-07-01,0.08027922,27.293098,50.363773
gedo,2025-08-01,0.07986202,26.99344,50.0922
gedo,2025-09-01,0.07037053,28.04384,47.663403
gedo,2025-10-01,0.20813471,28.820599,49.81666
gedo,2025-11-01,0.20005035,29.30988,48.108234
gedo,2025-12-01,0.10191913,29.977015,44.072296
